block_size,cache_pct,cache_blocks,cache_bytes,t_start,t_end,cache_type,cache_hit_count,cache_miss_count,cache_miss_by_in_use,bytes_to_read,bytes_to_cache,bytes_from_hits,bytes_from_misses
262144,80,53637,14060472665,1777375022.343167738,1777375184.264265926,metadata,462628,8,0,,,,
262144,80,53637,14060472665,1777375022.343167738,1777375184.264265926,data,420515,47968,0,74633343315,122763132570,65489549527,9143793788
262144,80,53637,14060472665,1777375022.343167738,1777375184.264265926,file handle,2318,239,12,,,,
262144,80,53637,14060472665,1777375022.343167738,1777375184.264265926,glob,0,0,0,,,,
262144,100,67046,17575590832,1777375184.277733784,1777375354.384155389,metadata,462626,8,0,,,,
262144,100,67046,17575590832,1777375184.277733784,1777375354.384155389,data,420439,48044,0,74633343315,122763132570,65490244733,9143098582
262144,100,67046,17575590832,1777375184.277733784,1777375354.384155389,file handle,2318,238,15,,,,
262144,100,67046,17575590832,1777375184.277733784,1777375354.384155389,glob,0,0,0,,,,
524288,0,0,0,1777375354.400544375,1777375381.945998181,metadata,462628,8,0,,,,
524288,0,0,0,1777375354.400544375,1777375381.945998181,data,0,0,0,0,0,0,0
524288,0,0,0,1777375354.400544375,1777375381.945998181,file handle,2318,239,23,,,,
524288,0,0,0,1777375354.400544375,1777375381.945998181,glob,0,0,0,,,,
524288,20,6705,3515118166,1777375381.959430991,1777375518.245313917,metadata,462622,8,0,,,,
524288,20,6705,3515118166,1777375381.959430991,1777375518.245313917,data,69982,255910,0,74633343315,170763271834,13365959065,61267384250
524288,20,6705,3515118166,1777375381.959430991,1777375518.245313917,file handle,2315,239,14,,,,
524288,20,6705,3515118166,1777375381.959430991,1777375518.245313917,glob,0,0,0,,,,
524288,40,13410,7030236332,1777375518.261238769,1777375667.811869800,metadata,462622,8,0,,,,
524288,40,13410,7030236332,1777375518.261238769,1777375667.811869800,data,167833,158059,0,74633343315,170763271834,33953402076,40679941239
524288,40,13410,7030236332,1777375518.261238769,1777375667.811869800,file handle,2315,239,14,,,,
524288,40,13410,7030236332,1777375518.261238769,1777375667.811869800,glob,0,0,0,,,,
524288,60,20114,10545354499,1777375667.827647702,1777375801.341465184,metadata,462618,8,0,,,,
524288,60,20114,10545354499,1777375667.827647702,1777375801.341465184,data,277749,48143,0,74633343315,170763271834,62207547510,12425795805
524288,60,20114,10545354499,1777375667.827647702,1777375801.341465184,file handle,2314,238,16,,,,
524288,60,20114,10545354499,1777375667.827647702,1777375801.341465184,glob,0,0,0,,,,
524288,80,26819,14060472665,1777375801.355900598,1777375921.808842729,metadata,462622,8,0,,,,
524288,80,26819,14060472665,1777375801.355900598,1777375921.808842729,data,300067,25825,0,74633343315,170763271834,67490735632,7142607683
524288,80,26819,14060472665,1777375801.355900598,1777375921.808842729,file handle,2316,238,17,,,,
524288,80,26819,14060472665,1777375801.355900598,1777375921.808842729,glob,0,0,0,,,,
524288,100,33523,17575590832,1777375921.821205961,1777376044.056978702,metadata,462626,8,0,,,,
524288,100,33523,17575590832,1777375921.821205961,1777376044.056978702,data,300091,25801,0,74633343315,170763271834,67492474975,7140868340
524288,100,33523,17575590832,1777375921.821205961,1777376044.056978702,file handle,2317,239,18,,,,
524288,100,33523,17575590832,1777375921.821205961,1777376044.056978702,glob,0,0,0,,,,
1048576,0,0,0,1777376044.071819499,1777376071.016344590,metadata,462630,8,0,,,,
1048576,0,0,0,1777376044.071819499,1777376071.016344590,data,0,0,0,0,0,0,0
1048576,0,0,0,1777376044.071819499,1777376071.016344590,file handle,2319,239,18,,,,
1048576,0,0,0,1777376044.071819499,1777376071.016344590,glob,0,0,0,,,,
1048576,20,3353,3515118166,1777376071.027586002,1777376161.986047407,metadata,462630,8,0,,,,
1048576,20,3353,3515118166,1777376071.027586002,1777376161.986047407,data,80674,174101,0,74633343315,266952849937,23699799126,50933544189
1048576,20,3353,3515118166,1777376071.027586002,1777376161.986047407,file handle,2319,239,17,,,,
1048576,20,3353,3515118166,1777376071.027586002,1777376161.986047407,glob,0,0,0,,,,
1048576,40,6705,7030236332,1777376162.000690649,1777376276.380194606,metadata,462628,8,0,,,,
1048576,40,6705,7030236332,1777376162.000690649,1777376276.380194606,data,101355,153420,0,74633343315,266952849937,28696059266,45937284049
1048576,40,6705,7030236332,1777376162.000690649,1777376276.380194606,file handle,2319,238,18,,,,
1048576,40,6705,7030236332,1777376162.000690649,1777376276.380194606,glob,0,0,0,,,,
1048576,60,10057,10545354499,1777376276.395485018,1777376383.801828227,metadata,462620,8,0,,,,
1048576,60,10057,10545354499,1777376276.395485018,1777376383.801828227,data,191363,63412,0,74633343315,266952849937,54283478976,20349864339
1048576,60,10057,10545354499,1777376276.395485018,1777376383.801828227,file handle,2314,239,14,,,,
1048576,60,10057,10545354499,1777376276.395485018,1777376383.801828227,glob,0,0,0,,,,
1048576,80,13410,14060472665,1777376383.814748364,1777376470.077789920,metadata,462622,8,0,,,,
1048576,80,13410,14060472665,1777376383.814748364,1777376470.077789920,data,234500,20275,0,74633343315,266952849937,68096614177,6536729138
1048576,80,13410,14060472665,1777376383.814748364,1777376470.077789920,file handle,2316,238,18,,,,
1048576,80,13410,14060472665,1777376383.814748364,1777376470.077789920,glob,0,0,0,,,,
1048576,100,16762,17575590832,1777376470.092082415,1777376551.458411558,metadata,462626,8,0,,,,
1048576,100,16762,17575590832,1777376470.092082415,1777376551.458411558,data,240262,14513,0,74633343315,266952849937,69890886615,4742456700
1048576,100,16762,17575590832,1777376470.092082415,1777376551.458411558,file handle,2318,238,23,,,,
1048576,100,16762,17575590832,1777376470.092082415,1777376551.458411558,glob,0,0,0,,,,
